Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
12/26/2022,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320223600707933218',
12/17/2022,MOBILE PAYMENT - THANK YOU,-300.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320223510498487959',
12/16/2022,MOBILE PAYMENT - THANK YOU,-180.22,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320223500471824200',
12/14/2022,AMAZON MARKEPLACE NA PA,11.00,"2MNVUH4XUYE BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320223510513313621',Merchandise & Supplies-Internet Purchase
12/14/2022,AMAZON MARKEPLACE NA PA,42.49,"1ACUIQ5EGQM BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320223490461313697',Merchandise & Supplies-Internet Purchase
12/14/2022,SP LOVEPOPCARDS.COM CAMBRIDGE           MA,47.68,"NT_MZ4SYWWN +18886879589
SP LOVEPOPCARDS.COM
CAMBRIDGE
MA
+18886879589",SP LOVEPOPCARDS.COM CAMBRIDGE           MA,955 MASSACHUSETTS AVE 179,"CAMBRIDGE
MA",02139,UNITED STATES,'320223490461755590',Merchandise & Supplies-General Retail
12/13/2022,AMAZON MARKEPLACE NA PA,159.14,"65PO5HP7QA1 BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320223480433833386',Merchandise & Supplies-Internet Purchase
12/13/2022,AMAZON MARKEPLACE NA PA,201.60,"KC0ENWZOUFO BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320223480436084218',Merchandise & Supplies-Internet Purchase
12/13/2022,BATH AND BODY WORKS PEABODY             MA,77.48,"213224658  1213174658       01960
SPECIALTY RETAIL
BATH AND BODY WORKS 3938 3938
PEABODY
MA
SPECIALTY RETAIL
1213174658       01960",BATH AND BODY WORKS PEABODY             MA,"210 ANDOVER ST
UNIT W190","PEABODY
MA",01960-1693,UNITED STATES,'320223490464704183',Merchandise & Supplies-Department Stores
12/13/2022,GAMESTOP #7832 00000PEABODY             MA,72.23,"83200006996 8008838895
GAMESTOP #7832 000007832
PEABODY
MA
Description : VIDEO GAME Price : 0.7223
8008838895",GAMESTOP #7832 00000PEABODY             MA,"SPACE E121 RT 128
RT 210 ANDOVER ST","PEABODY
MA",01960,UNITED STATES,'320223480429702501',Merchandise & Supplies-General Retail
12/13/2022,H&M0132 0000        PEABODY             MA,100.00,"00000110524 855-466-7467
H&M0132 0000
PEABODY
MA
Description : APPAREL/ACCESSORIES Price : 0.00
855-466-7467",H&M0132 0000        PEABODY             MA,"MALL
210 ANDOVER ST","PEABODY
MA",01960,UNITED STATES,'320223480434637246',Merchandise & Supplies-Clothing Stores
12/11/2022,AplPay SP WINE BY LASUN VALLEY          CA,130.00,"NT_MXQTDBZ1 +18188074407
AplPay SP WINE BY LAMBORGHI
SUN VALLEY
CA
+18188074407",AplPay SP WINE BY LASUN VALLEY          CA,12165 BRANDFORD ST,"SUN VALLEY
CA",91352,UNITED STATES,'320223450350299869',Merchandise & Supplies-Groceries
12/09/2022,AMAZON MARKEPLACE NA PA,19.96,"5RBWOXWKBHJ BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320223440343171513',Merchandise & Supplies-Internet Purchase
12/09/2022,AMAZON MARKEPLACE NA PA,24.99,"4V74NQV9X44 BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320223450362317657',Merchandise & Supplies-Internet Purchase
12/04/2022,AplPay SP 3D LASER GWEST PARK           FL,119.98,"NT_MVLAOM6A +18446503775
AplPay SP 3D LASER GIFTS
WEST PARK
FL
+18446503775",AplPay SP 3D LASER GWEST PARK           FL,2460 SOUTH WEST 56TH AVE,"WEST PARK
FL",33023,UNITED STATES,'320223390221572399',Merchandise & Supplies-Furnishing
12/01/2022,DAVIO'S NORTHERN ITALYNNFIELD           MA,262.01,"2396        781-944-4810
DAVIO'S NORTHERN ITALIAN STEAKHOUSE
LYNNFIELD
MA
Description : FOOD/BEVERAGE Price : 0.00
781-944-4810",DAVIO'S NORTHERN ITALYNNFIELD           MA,427 WALNUT ST,"LYNNFIELD
MA",01940,UNITED STATES,'320223360134399902',Restaurant-Restaurant
11/29/2022,NIKEPOS_US          BEAVERTON,49.99,"######EZQQu SPORTS CLOTHING
NIKEPOS_US
BEAVERTON
SPORTS CLOTHING",NIKEPOS_US          BEAVERTON,300 ARTISAN WAY,"SOMERVILLE
MA",02145,UNITED STATES,'320223340094967497',Merchandise & Supplies-Sporting Goods Stores
11/25/2022,EXPRESS             PEABODY             MA,110.00,"762001      WOMEN'S CLOTHING
EXPRESS
PEABODY
MA
Description : APPAREL/ACCESSORIES Price : 0.00
WOMEN'S CLOTHING",EXPRESS             PEABODY             MA,"210 ANDOVER ST
UNIT E161","PEABODY
MA",01960-1681,UNITED STATES,'320223300000526901',Merchandise & Supplies-Clothing Stores
11/25/2022,GAMESTOP #7832 00000PEABODY             MA,62.67,"83200005973 8008838895
GAMESTOP #7832 000007832
PEABODY
MA
Description : VIDEO GAME Price : 0.6267
8008838895",GAMESTOP #7832 00000PEABODY             MA,"SPACE E121 RT 128
RT 210 ANDOVER ST","PEABODY
MA",01960,UNITED STATES,'320223300998672790',Merchandise & Supplies-General Retail
11/15/2022,MOBILE PAYMENT - THANK YOU,-214.67,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320223190736066177',
