Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
12/31/2023,MOBILE PAYMENT - THANK YOU,-72.03,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320233650532651875',
12/23/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320233570353463215',
12/17/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320233510191918998',
12/15/2023,CHEESECAKE 137 ONLINPEABODY             MA,94.80,"28522591885 818-871-3000
CHEESECAKE 137 ONLINE 0000
PEABODY
MA
Description : FOOD/BEVERAGE Price : 0.00
818-871-3000",CHEESECAKE 137 ONLINPEABODY             MA,"210 ANDOVER ST
-","PEABODY
MA",01960,UNITED STATES,'320233500185213422',Restaurant-Restaurant
12/14/2023,MOBILE PAYMENT - THANK YOU,-184.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320233480111360373',
12/13/2023,AMAZON MARKEPLACE NA PA,177.23,"1G9I5CKR38Z MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320233490154157988',Merchandise & Supplies-Internet Purchase
12/11/2023,BURLINGTON ANIMAL CLBURLINGTON          MA,184.00,"99999993345 7812721573
BURLINGTON ANIMAL CLINIC- 000000002
BURLINGTON
MA
7812721573",BURLINGTON ANIMAL CLBURLINGTON          MA,259A CAMBRIDGE ST,"BURLINGTON
MA",01803-2538,UNITED STATES,'320233460078860762',Business Services-Health Care Services
11/23/2023,MOBILE PAYMENT - THANK YOU,-93.70,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320233270567778210',
11/17/2023,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-35.05,"4WSG75XPBI6 MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320233210421758767',Merchandise & Supplies-Internet Purchase
11/14/2023,AMAZON MARKEPLACE NA PA,69.33,"6EFTSS63I2W MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320233190370321673',Merchandise & Supplies-Internet Purchase
11/02/2023,AMAZON MARKEPLACE NA PA,59.42,"75CRKMXI71P MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320233070080210489',Merchandise & Supplies-Internet Purchase
10/18/2023,MOBILE PAYMENT - THANK YOU,-129.20,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232910684618486',
10/06/2023,MOBILE PAYMENT - THANK YOU,-350.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232790391670949',
10/03/2023,CITGO OIL CO        479-928-7135        OK,330.55,"9B48050     781-729-9886
CITGO OIL CO
479-928-7135
OK
Description : GAS/MSC97  48501068 Price : 3.3055
781-729-9886",CITGO OIL CO        479-928-7135        OK,"6100 S YALE AVE
STE 600","TULSA
OK",74136-1922,UNITED STATES,'320232770347603079',Transportation-Fuel
09/28/2023,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232710193923677',
09/23/2023,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232660076219476',
09/23/2023,RETURNED CHECK/DECLIANK TRANSACTIONS,150.00,"RETURNED CHECK/DECLINED BANK TRANSACTIONS
ANK TRANSACTIONS",RETURNED CHECK/DECLIANK TRANSACTIONS,,,,,'320232690165942750',Fees & Adjustments-Fees & Adjustments
09/16/2023,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232590907541872',
09/10/2023,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232530761810548',
09/09/2023,Par*Fogo Burlington Burlington          MA,90.00,"60090      60090            01803
Par*Fogo Burlington 16197332005
Burlington
MA
60090            01803",Par*Fogo Burlington Burlington          MA,75 MIDDLESEX TPKE SPACE 1630,"BURLINGTON
MA",01803,UNITED STATES,'320232520753982969',Restaurant-Restaurant
09/01/2023,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232440541417480',
08/29/2023,LENSCRAFTERS        BURLINGTON          MA,408.65,"16007001    800-767-0990
LENSCRAFTERS
BURLINGTON
MA
Description : SPECIALTY RETAIL Price : 0.00
800-767-0990",LENSCRAFTERS        BURLINGTON          MA,34 CAMBRIDGE ST,"BURLINGTON
MA",01803-4611,UNITED STATES,'320232420502504177',Merchandise & Supplies-General Retail
08/28/2023,RENEWAL MEMBERSHIP FEE,250.00,RENEWAL MEMBERSHIP FEE,RENEWAL MEMBERSHIP FEE,,,,,'320232403449164239',Fees & Adjustments-Fees & Adjustments
07/22/2023,MOBILE PAYMENT - THANK YOU,-121.19,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232030551183055',
07/19/2023,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320232000477436179',
07/15/2023,TST* MOLLYS RESTAURAHANOVER             NH,200.00,"21105173197 RESTAURANT
TST* MOLLYS RESTAURANT 00005442
HANOVER
NH
RESTAURANT",TST* MOLLYS RESTAURAHANOVER             NH,43 SOUTH MAIN ST,"HANOVER
NH",03755-2047,UNITED STATES,'320231970413755264',Restaurant-Restaurant
06/23/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320231740847676739',
06/19/2023,AplPay SP LUXORALONDGRAYS               GB,96.00,"NT_O70RSXRJ +447415766627
AplPay SP LUXORALONDON
GRAYS
GB
+447415766627",AplPay SP LUXORALONDGRAYS               GB,15 ST CEDDS COURT,GRAYS,RM16,UNITED KINGDOM OF GB AND NI,'320231700753016883',Merchandise & Supplies-Clothing Stores
06/16/2023,TST* TOSCANA FORNO 0PEABODY             MA,75.19,"21105173168 RESTAURANT
TST* TOSCANA FORNO 00093412
PEABODY
MA
RESTAURANT",TST* TOSCANA FORNO 0PEABODY             MA,139 LYNNFIELD ST,"PEABODY
MA",01960,UNITED STATES,'320231680716384587',Restaurant-Restaurant
05/20/2023,MOBILE PAYMENT - THANK YOU,-154.64,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320231400023916954',
05/13/2023,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320231330856219414',
05/11/2023,TST* SOGNO 300576325WOBURN              MA,113.42,"99999993132 7816251300
TST* SOGNO 300576325
WOBURN
MA
Description : RESTAURANTS Price : 1.1342
7816251300",TST* SOGNO 300576325WOBURN              MA,304 CAMBRIDGE RD,"WOBURN
MA",01801-6080,UNITED STATES,'320231320847497343',Restaurant-Restaurant
05/11/2023,WHOLEFDS LNF #10452 LYNNFIELD           MA,191.22,"0Y73E6ARWE2 7817764300
WHOLEFDS LNF #10452 000010452
LYNNFIELD
MA
Description : GROCERY STORES Price : 1.9122
7817764300",WHOLEFDS LNF #10452 LYNNFIELD           MA,100 MARKET ST,"LYNNFIELD
MA",01940-4018,UNITED STATES,'320231320842493726',Merchandise & Supplies-Groceries
05/06/2023,MOBILE PAYMENT - THANK YOU,-16.73,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320231260690039781',
04/24/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"042882737   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320231140405396098',Business Services-Other Services
04/20/2023,MOBILE PAYMENT - THANK YOU,-133.46,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320231100308154020',
04/19/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"060919118   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320231090287839157',Business Services-Other Services
04/17/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"035180914   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320231070239594933',Business Services-Other Services
04/14/2023,MOBILE PAYMENT - THANK YOU,-122.71,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320231040165474790',
04/11/2023,TST* MAJOR FOOD GROUBOSTON              MA,205.98,"ATqdtvluF00 6466924732
TST* MAJOR FOOD GROUP - C 300562856
BOSTON
MA
Description : RESTAURANTS Price : 2.0598
6466924732",TST* MAJOR FOOD GROUBOSTON              MA,15 ARLINGTON ST,"BOSTON
MA",02116,UNITED STATES,'320231010101658914',Restaurant-Restaurant
03/31/2023,MOBILE PAYMENT - THANK YOU,-84.42,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230900821981037',
03/30/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"028593580   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230890805089142',Business Services-Other Services
03/29/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"047878069   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230880779826525',Business Services-Other Services
03/28/2023,Interest Charge on Pay Over Time Purchases,5.06,Interest Charge on Pay Over Time Purchases,Interest Charge on Pay Over Time Purchases,,,,,'130329050000366683',Fees & Adjustments-Fees & Adjustments
03/26/2023,AMAZON MARKEPLACE NA PA,39.26,"5LH6A1TUH2Z BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320230850714588199',Merchandise & Supplies-Internet Purchase
03/26/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230850709133330',
03/18/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230770528469350',
03/15/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"032640204   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230740460406825',Business Services-Other Services
03/15/2023,BEST BUY CO   024646SHEPHERDSVILL       KY,-116.86,"006209843   888BESTBUY
BEST BUY CO   024646 29500024646
SHEPHERDSVILL
KY
Description : ELEC STORES Price : 0.00
888BESTBUY",BEST BUY CO   024646SHEPHERDSVILL       KY,600 PARK LOOP RD,"SHEPHERDSVILLE
KY",40165,UNITED STATES,'320230740475867120',Merchandise & Supplies-Electronics Stores
03/13/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"012146989   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230720415407971',Business Services-Other Services
03/13/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230720412814068',
03/08/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"040580764   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230670301108119',Business Services-Other Services
03/06/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"065529328   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230660289631342',Business Services-Other Services
03/04/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230630210611369',
03/01/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"013423843   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230600137298760',Business Services-Other Services
02/28/2023,BESTBUYCOM8067456674RICHFIELD           MN,116.86,"BBY01-80674 888BESTBUY
BESTBUYCOM806745667424 50300009944
RICHFIELD
MN
Description : BBY01-806745667424 Price : 0.00
888BESTBUY",BESTBUYCOM8067456674RICHFIELD           MN,7075 FLYING CLOUD DR,"EDEN PRAIRIRP
MN",55344-3532,UNITED STATES,'320230590112113672',Merchandise & Supplies-Internet Purchase
02/27/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"041932399   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230580091242335',Business Services-Other Services
02/27/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230580087266093',
02/24/2023,Interest Charge on Pay Over Time Purchases,10.61,Interest Charge on Pay Over Time Purchases,Interest Charge on Pay Over Time Purchases,,,,,'130225040000917023',Fees & Adjustments-Fees & Adjustments
02/24/2023,JELLYCAT            LONDON              GB,34.56,"104091603 HOBBY, TOY & GAME
Jellycat order
JELLYCAT
LONDON
GB
Jellycat order
""HOBBY, TOY & GAME""",JELLYCAT            LONDON              GB,WESTWORKS BUILDING 195 WOOD LANE,"LONDON
ENG",W12 7FQ,UNITED KINGDOM OF GB AND NI,'320230590131150786',Merchandise & Supplies-General Retail
02/24/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230550022634612',
02/17/2023,AMK BRANDEIS LOW USDWALTHAM             MA,16.73,"054262031   336-758-5680
AMK BRANDEIS LOW USDAN AMK BRANDEIS LO
WALTHAM
MA
336-758-5680",AMK BRANDEIS LOW USDWALTHAM             MA,415 SOUTH ST,"WALTHAM
MA",02453,UNITED STATES,'320230480869974969',Business Services-Other Services
02/14/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230450798686939',
02/14/2023,TST* THE BANCROFT BUBURLINGTON          MA,130.00,"21105173046 RESTAURANT
TST* THE BANCROFT BURLING 00011370
BURLINGTON
MA
RESTAURANT",TST* THE BANCROFT BUBURLINGTON          MA,15 3RD AVE,"BURLINGTON
MA",01803-4407,UNITED STATES,'320230460834109984',Restaurant-Restaurant
02/08/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230390665479644',
02/01/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230320507381911',
01/27/2023,Interest Charge on Pay Over Time Purchases,15.33,Interest Charge on Pay Over Time Purchases,Interest Charge on Pay Over Time Purchases,,,,,'130128040000913593',Fees & Adjustments-Fees & Adjustments
01/25/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230250345031092',
01/18/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230180196013514',
01/11/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230110044044553',
01/06/2023,AMAZON MARKEPLACE NA PA,104.76,"5PBH7S01BEU BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320230070960780863',Merchandise & Supplies-Internet Purchase
01/04/2023,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320230040892437626',
