Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
04/27/2024,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320241180382445031',
04/20/2024,MOBILE PAYMENT - THANK YOU,-710.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320241110208663853',
04/18/2024,USCIS ELIS N400 0000WASHINGTON          DC,710.00,"99999994110I4L06O3UU18L1K   20529
Immigration applications and petitions
USCIS ELIS N400 000000005
WASHINGTON
DC
Immigration applications and petitions
I4L06O3UU18L1K   20529",USCIS ELIS N400 0000WASHINGTON          DC,111 MASSACHUSETTS AVE,"WASHINGTON
DC",20529,UNITED STATES,'320241100200512051',Other-Government Services
04/13/2024,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320241040029297214',
04/08/2024,AMAZON MARKEPLACE NA PA,27.98,"2FB461MWOUL MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320241000932028892',Merchandise & Supplies-Internet Purchase
04/08/2024,AMAZON.COM          AMZN.COM/BILL       WA,11.94,"57E0Z6LMOY5 MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320240990917044683',Merchandise & Supplies-Internet Purchase
04/06/2024,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240970853431378',
04/05/2024,COQUETTE SEAPORT COQBOSTON              MA,111.15,"606071030   888-444-4446
COQUETTE SEAPORT COQUETTE SEAPOR
BOSTON
MA
888-444-4446",COQUETTE SEAPORT COQBOSTON              MA,450 SUMMER ST,"BOSTON
MA",02210,UNITED STATES,'320240970863822057',Restaurant-Restaurant
03/30/2024,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240900681032781',
03/24/2024,PADDLE.NET* IMAZING ASTORIA             NY,39.99,"NT_PNDWHHRO +17745236658
PADDLE.NET* IMAZING
ASTORIA
NY
+17745236658",PADDLE.NET* IMAZING ASTORIA             NY,"3811 DITMARS BLVD
1071","ASTORIA
NY",11105,UNITED STATES,'320240850577570681',Merchandise & Supplies-Internet Purchase
03/23/2024,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240830508567123',
03/16/2024,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240760335752906',
03/12/2024,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240720235004874',
03/10/2024,ALLIANZ EVENT INS   RICHMOND            VA,14.00,"FXQTSEW4    8888172166
ALLIANZ EVENT INS
RICHMOND
VA
8888172166",ALLIANZ EVENT INS   RICHMOND            VA,9950 MAYLAND DR,"RICHMOND
VA",23233,UNITED STATES,'320240710221563463',Business Services-Insurance Services
03/10/2024,ALLIANZ EVENT INS   RICHMOND            VA,42.00,"7W8NT89T    8888172166
ALLIANZ EVENT INS
RICHMOND
VA
8888172166",ALLIANZ EVENT INS   RICHMOND            VA,9950 MAYLAND DR,"RICHMOND
VA",23233,UNITED STATES,'320240700194451966',Business Services-Insurance Services
03/10/2024,TM * SAVAGE         LOS ANGELES         CA,108.70,"NY2/51-3034 8006538000
TM * SAVAGE
LOS ANGELES
CA
8006538000",TM * SAVAGE         LOS ANGELES         CA,"555 WEST 57TH ST
FL 14","NEW YORK
NY",10019-2925,UNITED STATES,'320240710221563868',Entertainment-General Events
03/09/2024,JOE'S NEWBURY       BOSTON              MA,215.07,"1392        6175364200
JOE'S NEWBURY
BOSTON
MA
6175364200",JOE'S NEWBURY       BOSTON              MA,26 EXETER ST,"BOSTON
MA",02116,UNITED STATES,'320240690167370287',Restaurant-Restaurant
03/09/2024,TM * SAVAGE         LOS ANGELES         CA,326.10,"NY2/51-2929 8006538000
TM * SAVAGE
LOS ANGELES
CA
8006538000",TM * SAVAGE         LOS ANGELES         CA,"555 WEST 57TH ST
FL 14","NEW YORK
NY",10019-2925,UNITED STATES,'320240700195230931',Entertainment-General Events
03/02/2024,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240620989637829',
02/24/2024,MOBILE PAYMENT - THANK YOU,-100.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240550818556207',
02/23/2024,TST* ROW 34 - BOSTONBOSTON              MA,117.39,"00016955016 RESTAURANT
TST* ROW 34 - BOSTON 00016955
BOSTON
MA
RESTAURANT",TST* ROW 34 - BOSTONBOSTON              MA,383 CONGRESS ST,"BOSTON
MA",02210-1811,UNITED STATES,'320240550830183092',Restaurant-Restaurant
02/17/2024,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240480651945044',
02/16/2024,MARIEL              BOSTON              MA,114.61,"00023680016 RESTAURANT
MARIEL
BOSTON
MA
RESTAURANT",MARIEL              BOSTON              MA,10 POST OFFICE SQ,"BOSTON
MA",02109,UNITED STATES,'320240480668468189',Restaurant-Restaurant
02/06/2024,TARGET PLUS 0       BROOKLYN PARK       MN,21.25,"90200128432 800-591-3869
TARGET PLUS 0
BROOKLYN PARK
MN
Description : APPAREL HSWRS/ACC Price : 0.00
800-591-3869",TARGET PLUS 0       BROOKLYN PARK       MN,900 NICOLLET MALL,"MINNEAPOLIS
MN",55403,UNITED STATES,'320240370410161462',Merchandise & Supplies-Internet Purchase
02/04/2024,TARGET.COM          800-591-3869        MN,58.30,"90200128432 800-591-3869
TARGET.COM
800-591-3869
MN
""Description : APPAREL, HOUSEWARES Price : 0.00""
800-591-3869",TARGET.COM          800-591-3869        MN,"33 SOUTH 6TH ST
STE CC1","MINNEAPOLIS
MN",55402-3700,UNITED STATES,'320240350363561839',Merchandise & Supplies-Internet Purchase
02/03/2024,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240340316837230',
02/01/2024,SEPHORA.COM         877-SEPHORA         CA,136.00,"71108078111 COSMETICS
SEPHORA.COM
877-SEPHORA
CA
COSMETICS",SEPHORA.COM         877-SEPHORA         CA,"525 MARKET ST
FL 32","SAN FRANCISCO
CA",94105-2740,UNITED STATES,'320240340327364510',Merchandise & Supplies-Internet Purchase
01/27/2024,MOBILE PAYMENT - THANK YOU,-150.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240270151539831',
01/23/2024,Amazon Prime        Amazon.com          WA,69.00,"2D83HMH9U8V SUBSCRIPTION
Amazon Prime
Amazon.com
WA
SUBSCRIPTION",Amazon Prime        Amazon.com          WA,440 TERRY AVE NORTH,"SEATTLE
WA",98109,UNITED STATES,'320240230061434700',Merchandise & Supplies-Mail Order
01/20/2024,AMAZON MARKEPLACE NA PA,84.98,"3JOIO9V0UUQ MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320240200997388681',Merchandise & Supplies-Internet Purchase
01/20/2024,AMAZON.COM          AMZN.COM/BILL       WA,9.69,"6KK5S5GPRO7 MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320240200992383687',Merchandise & Supplies-Internet Purchase
01/19/2024,AMAZON MARKEPLACE NA PA,45.98,"66POPJN2CKD MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320240210013779289',Merchandise & Supplies-Internet Purchase
01/13/2024,MOBILE PAYMENT - THANK YOU,-75.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240130831038467',
01/06/2024,EARLS ASSEMBLY ROW  Somerville          MA,122.83,"BcKSCkA0Y4N squareup.com/receipts
EARLS ASSEMBLY ROW
Somerville
MA",EARLS ASSEMBLY ROW  Somerville          MA,698 ASSEMBLY ROW,"SOMERVILLE
MA",02145,UNITED STATES,'320240050649401218',Restaurant-Restaurant
