Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
04/30/2024,05/01/2024,"Interest","Credit","Interest Paid","USD","10.02"
04/28/2024,04/28/2024,"Rewards","Credit","Daily Cash Deposit","USD","9.80"
04/28/2024,04/28/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.35"
04/27/2024,04/27/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.02"
04/25/2024,04/25/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","100.00"
04/24/2024,04/24/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.07"
04/23/2024,04/23/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.66"
04/18/2024,04/18/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","100.00"
04/11/2024,04/11/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","100.00"
04/11/2024,04/11/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
04/08/2024,04/08/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.19"
04/06/2024,04/06/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.57"
04/06/2024,04/06/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.43"
04/06/2024,04/06/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.05"
04/04/2024,04/04/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","100.00"
04/03/2024,04/03/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.42"
