Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
12/31/2023,01/01/2024,"Interest","Credit","Interest Paid","USD","6.08"
12/28/2023,12/28/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
12/25/2023,12/25/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.82"
12/21/2023,12/21/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
12/21/2023,12/21/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.37"
12/20/2023,12/20/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.28"
12/15/2023,12/15/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
12/11/2023,12/11/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
12/09/2023,12/09/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.08"
12/09/2023,12/09/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.55"
12/09/2023,12/09/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.08"
12/07/2023,12/07/2023,"Rewards","Credit","Daily Cash Deposit","USD","1.40"
12/07/2023,12/07/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
12/04/2023,12/04/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.36"
12/03/2023,12/03/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.51"
