Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
02/29/2024,03/01/2024,"Interest","Credit","Interest Paid","USD","7.72"
02/29/2024,02/29/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.38"
02/29/2024,02/29/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
02/27/2024,02/27/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.33"
02/24/2024,02/24/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.08"
02/22/2024,02/22/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
02/19/2024,02/19/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.22"
02/17/2024,02/17/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
02/15/2024,02/15/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
02/13/2024,02/13/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.83"
02/13/2024,02/13/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.93"
02/11/2024,02/11/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
02/08/2024,02/08/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.17"
02/08/2024,02/08/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
02/07/2024,02/07/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.80"
02/06/2024,02/06/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.27"
02/06/2024,02/06/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.02"
02/04/2024,02/04/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.86"
02/01/2024,02/01/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
