Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
01/31/2024,02/01/2024,"Interest","Credit","Interest Paid","USD","7.16"
01/30/2024,01/30/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.02"
01/28/2024,01/28/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.23"
01/28/2024,01/28/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.31"
01/27/2024,01/27/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.27"
01/25/2024,01/25/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
01/25/2024,01/25/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.55"
01/25/2024,01/25/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.50"
01/19/2024,01/19/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
01/13/2024,01/13/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.27"
01/13/2024,01/13/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.91"
01/11/2024,01/11/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
01/11/2024,01/11/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.21"
01/11/2024,01/11/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
01/09/2024,01/09/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.91"
01/06/2024,01/07/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.51"
01/06/2024,01/06/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.07"
01/04/2024,01/04/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
01/04/2024,01/04/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.34"
01/04/2024,01/04/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.26"
01/02/2024,01/02/2024,"Rewards","Credit","Daily Cash Deposit","USD","2.88"
