Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
07/31/2023,08/01/2023,"Interest","Credit","Interest Paid","USD","2.31"
07/30/2023,07/30/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.14"
07/27/2023,07/27/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.97"
07/25/2023,07/25/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.57"
07/25/2023,07/25/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
07/20/2023,07/20/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
07/17/2023,07/17/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
07/15/2023,07/15/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.08"
07/15/2023,07/15/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
07/15/2023,07/15/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.07"
07/12/2023,07/12/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.67"
07/10/2023,07/11/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
07/05/2023,07/05/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
