Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
06/30/2023,07/01/2023,"Interest","Credit","Interest Paid","USD","1.47"
06/29/2023,06/29/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
06/29/2023,06/29/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.39"
06/28/2023,06/28/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.71"
06/25/2023,06/25/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.37"
06/22/2023,06/22/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
06/21/2023,06/21/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.79"
06/18/2023,06/18/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.41"
06/16/2023,06/16/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
06/16/2023,06/16/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.52"
06/11/2023,06/11/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
06/09/2023,06/09/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
06/05/2023,06/05/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.33"
06/05/2023,06/05/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.62"
06/04/2023,06/04/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.43"
06/04/2023,06/04/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.21"
06/03/2023,06/03/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
