Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
03/31/2024,04/01/2024,"Interest","Credit","Interest Paid","USD","9.13"
03/30/2024,03/30/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.49"
03/28/2024,03/28/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","100.00"
03/28/2024,03/28/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.07"
03/21/2024,03/21/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
03/20/2024,03/20/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.67"
03/19/2024,03/19/2024,"Rewards","Credit","Daily Cash Deposit","USD","1.40"
03/16/2024,03/16/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.61"
03/14/2024,03/14/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
03/12/2024,03/12/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.38"
03/11/2024,03/11/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.30"
03/11/2024,03/11/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
03/09/2024,03/09/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.66"
03/09/2024,03/09/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.09"
03/07/2024,03/07/2024,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
03/05/2024,03/05/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.49"
03/03/2024,03/03/2024,"Rewards","Credit","Daily Cash Deposit","USD","0.40"
