Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
11/30/2023,12/01/2023,"Interest","Credit","Interest Paid","USD","5.05"
11/30/2023,11/30/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/23/2023,11/23/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/23/2023,11/23/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.91"
11/23/2023,11/23/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.38"
11/22/2023,11/22/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.19"
11/22/2023,11/22/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.11"
11/21/2023,11/21/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
11/21/2023,11/21/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.13"
11/20/2023,11/20/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.70"
11/20/2023,11/20/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.04"
11/20/2023,11/20/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
11/17/2023,11/17/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/11/2023,11/11/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.57"
11/11/2023,11/11/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.42"
11/11/2023,11/11/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
11/10/2023,11/10/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/09/2023,11/09/2023,"ACH","Debit","Reversal of ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/09/2023,11/09/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/09/2023,11/09/2023,"ACH","Debit","Reversal of ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/09/2023,11/09/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
11/04/2023,11/04/2023,"Rewards","Credit","Daily Cash Deposit","USD","1.99"
11/03/2023,11/03/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
