Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
09/30/2023,10/01/2023,"Interest","Credit","Interest Paid","USD","3.56"
09/29/2023,09/29/2023,"ACH","Credit","ACH Online transfer from CAPITAL ONE N.A. *******7422","USD","50.00"
09/26/2023,09/26/2023,"ACH","Debit","Reversal of ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
09/23/2023,09/23/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
09/23/2023,09/23/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.36"
09/16/2023,09/16/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","50.00"
09/13/2023,09/13/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.12"
09/13/2023,09/13/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.57"
09/13/2023,09/13/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.11"
09/11/2023,09/11/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.10"
09/10/2023,09/10/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.25"
09/09/2023,09/09/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.21"
09/08/2023,09/08/2023,"ACH","Credit","ACH Online transfer from CITIZENS BANK NA ******5551","USD","375.00"
09/07/2023,09/07/2023,"ACH","Debit","ACH Transfer to CAPITAL ONE MOBILE PMT","USD","2.99"
09/06/2023,09/06/2023,"ACH","Debit","ACH Online transfer to CITIZENS BANK NA ******5551","USD","150.00"
09/06/2023,09/06/2023,"Rewards","Credit","Daily Cash Deposit","USD","0.72"
09/05/2023,09/05/2023,"ACH","Debit","ACH Online transfer to CITIZENS BANK NA ******5551","USD","175.00"
