Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
04/27/2024,MOBILE PAYMENT - THANK YOU,-100.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320241180382445031',
04/20/2024,MOBILE PAYMENT - THANK YOU,-710.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320241110208663853',
04/18/2024,USCIS ELIS N400 0000WASHINGTON          DC,710.0,"99999994110I4L06O3UU18L1K   20529
Immigration applications and petitions
USCIS ELIS N400 000000005
WASHINGTON
DC
Immigration applications and petitions
I4L06O3UU18L1K   20529",USCIS ELIS N400 0000WASHINGTON          DC,111 MASSACHUSETTS AVE,"WASHINGTON
DC",20529,UNITED STATES,'320241100200512051',Other-Government Services
04/13/2024,MOBILE PAYMENT - THANK YOU,-100.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320241040029297214',
04/08/2024,AMAZON MARKEPLACE NA PA,27.98,"2FB461MWOUL MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320241000932028892',Merchandise & Supplies-Internet Purchase
04/08/2024,AMAZON.COM          AMZN.COM/BILL       WA,11.94,"57E0Z6LMOY5 MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320240990917044683',Merchandise & Supplies-Internet Purchase
04/06/2024,MOBILE PAYMENT - THANK YOU,-100.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240970853431378',
04/05/2024,COQUETTE SEAPORT COQBOSTON              MA,111.15,"606071030   888-444-4446
COQUETTE SEAPORT COQUETTE SEAPOR
BOSTON
MA
888-444-4446",COQUETTE SEAPORT COQBOSTON              MA,450 SUMMER ST,"BOSTON
MA",02210,UNITED STATES,'320240970863822057',Restaurant-Restaurant
03/30/2024,MOBILE PAYMENT - THANK YOU,-100.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240900681032781',
03/24/2024,PADDLE.NET* IMAZING ASTORIA             NY,39.99,"NT_PNDWHHRO +17745236658
PADDLE.NET* IMAZING
ASTORIA
NY
+17745236658",PADDLE.NET* IMAZING ASTORIA             NY,"3811 DITMARS BLVD
1071","ASTORIA
NY",11105,UNITED STATES,'320240850577570681',Merchandise & Supplies-Internet Purchase
03/23/2024,MOBILE PAYMENT - THANK YOU,-150.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240830508567123',
03/16/2024,MOBILE PAYMENT - THANK YOU,-150.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240760335752906',
03/12/2024,MOBILE PAYMENT - THANK YOU,-150.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240720235004874',
03/10/2024,ALLIANZ EVENT INS   RICHMOND            VA,14.0,"FXQTSEW4    8888172166
ALLIANZ EVENT INS
RICHMOND
VA
8888172166",ALLIANZ EVENT INS   RICHMOND            VA,9950 MAYLAND DR,"RICHMOND
VA",23233,UNITED STATES,'320240710221563463',Business Services-Insurance Services
03/10/2024,ALLIANZ EVENT INS   RICHMOND            VA,42.0,"7W8NT89T    8888172166
ALLIANZ EVENT INS
RICHMOND
VA
8888172166",ALLIANZ EVENT INS   RICHMOND            VA,9950 MAYLAND DR,"RICHMOND
VA",23233,UNITED STATES,'320240700194451966',Business Services-Insurance Services
03/10/2024,TM * SAVAGE         LOS ANGELES         CA,108.7,"NY2/51-3034 8006538000
TM * SAVAGE
LOS ANGELES
CA
8006538000",TM * SAVAGE         LOS ANGELES         CA,"555 WEST 57TH ST
FL 14","NEW YORK
NY",10019-2925,UNITED STATES,'320240710221563868',Entertainment-General Events
03/09/2024,JOE'S NEWBURY       BOSTON              MA,215.07,"1392        6175364200
JOE'S NEWBURY
BOSTON
MA
6175364200",JOE'S NEWBURY       BOSTON              MA,26 EXETER ST,"BOSTON
MA",02116,UNITED STATES,'320240690167370287',Restaurant-Restaurant
03/09/2024,TM * SAVAGE         LOS ANGELES         CA,326.1,"NY2/51-2929 8006538000
TM * SAVAGE
LOS ANGELES
CA
8006538000",TM * SAVAGE         LOS ANGELES         CA,"555 WEST 57TH ST
FL 14","NEW YORK
NY",10019-2925,UNITED STATES,'320240700195230931',Entertainment-General Events
03/02/2024,MOBILE PAYMENT - THANK YOU,-100.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240620989637829',
02/24/2024,MOBILE PAYMENT - THANK YOU,-100.0,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320240550818556207',
