Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
10/31/2023,11/01/2023,Interest,Credit,Interest Paid,USD,4.44
10/30/2023,10/30/2023,Rewards,Credit,Daily Cash Deposit,USD,0.16
10/26/2023,10/26/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
10/26/2023,10/26/2023,Rewards,Credit,Daily Cash Deposit,USD,1.4
10/21/2023,10/21/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
10/12/2023,10/12/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
10/12/2023,10/12/2023,Rewards,Credit,Daily Cash Deposit,USD,1.2
10/11/2023,10/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
10/05/2023,10/05/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
01/31/2024,02/01/2024,Interest,Credit,Interest Paid,USD,7.16
01/30/2024,01/30/2024,Rewards,Credit,Daily Cash Deposit,USD,0.02
01/28/2024,01/28/2024,Rewards,Credit,Daily Cash Deposit,USD,1.23
01/28/2024,01/28/2024,Rewards,Credit,Daily Cash Deposit,USD,0.31
01/27/2024,01/27/2024,Rewards,Credit,Daily Cash Deposit,USD,1.27
01/25/2024,01/25/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
01/25/2024,01/25/2024,Rewards,Credit,Daily Cash Deposit,USD,0.55
01/25/2024,01/25/2024,Rewards,Credit,Daily Cash Deposit,USD,0.5
01/19/2024,01/19/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
01/13/2024,01/13/2024,Rewards,Credit,Daily Cash Deposit,USD,0.27
01/13/2024,01/13/2024,Rewards,Credit,Daily Cash Deposit,USD,0.91
01/11/2024,01/11/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
01/11/2024,01/11/2024,Rewards,Credit,Daily Cash Deposit,USD,0.21
01/11/2024,01/11/2024,Rewards,Credit,Daily Cash Deposit,USD,0.1
01/09/2024,01/09/2024,Rewards,Credit,Daily Cash Deposit,USD,1.91
01/06/2024,01/07/2024,Rewards,Credit,Daily Cash Deposit,USD,0.51
01/06/2024,01/06/2024,Rewards,Credit,Daily Cash Deposit,USD,0.07
01/04/2024,01/04/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
01/04/2024,01/04/2024,Rewards,Credit,Daily Cash Deposit,USD,0.34
01/04/2024,01/04/2024,Rewards,Credit,Daily Cash Deposit,USD,0.26
01/02/2024,01/02/2024,Rewards,Credit,Daily Cash Deposit,USD,2.88
08/31/2023,09/01/2023,Interest,Credit,Interest Paid,USD,3.13
08/30/2023,08/30/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
08/22/2023,08/22/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
08/21/2023,08/21/2023,Rewards,Credit,Daily Cash Deposit,USD,0.56
08/16/2023,08/16/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
08/11/2023,08/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
08/09/2023,08/09/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
08/03/2023,08/03/2023,Rewards,Credit,Daily Cash Deposit,USD,0.72
08/02/2023,08/02/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
09/30/2023,10/01/2023,Interest,Credit,Interest Paid,USD,3.56
09/29/2023,09/29/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
09/26/2023,09/26/2023,ACH,Debit,Reversal of ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
09/23/2023,09/23/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
09/23/2023,09/23/2023,Rewards,Credit,Daily Cash Deposit,USD,0.36
09/16/2023,09/16/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
09/13/2023,09/13/2023,Rewards,Credit,Daily Cash Deposit,USD,0.12
09/13/2023,09/13/2023,Rewards,Credit,Daily Cash Deposit,USD,0.57
09/13/2023,09/13/2023,Rewards,Credit,Daily Cash Deposit,USD,0.11
09/11/2023,09/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
09/10/2023,09/10/2023,Rewards,Credit,Daily Cash Deposit,USD,0.25
09/09/2023,09/09/2023,Rewards,Credit,Daily Cash Deposit,USD,0.21
09/08/2023,09/08/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,375.0
09/07/2023,09/07/2023,ACH,Debit,ACH Transfer to CAPITAL ONE MOBILE PMT,USD,2.99
09/06/2023,09/06/2023,ACH,Debit,ACH Online transfer to CITIZENS BANK NA ******5551,USD,150.0
09/06/2023,09/06/2023,Rewards,Credit,Daily Cash Deposit,USD,0.72
09/05/2023,09/05/2023,ACH,Debit,ACH Online transfer to CITIZENS BANK NA ******5551,USD,175.0
12/31/2023,01/01/2024,Interest,Credit,Interest Paid,USD,6.08
12/28/2023,12/28/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
12/25/2023,12/25/2023,Rewards,Credit,Daily Cash Deposit,USD,0.82
12/21/2023,12/21/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
12/21/2023,12/21/2023,Rewards,Credit,Daily Cash Deposit,USD,0.37
12/20/2023,12/20/2023,Rewards,Credit,Daily Cash Deposit,USD,0.28
12/15/2023,12/15/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
12/11/2023,12/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
12/09/2023,12/09/2023,Rewards,Credit,Daily Cash Deposit,USD,0.08
12/09/2023,12/09/2023,Rewards,Credit,Daily Cash Deposit,USD,0.55
12/09/2023,12/09/2023,Rewards,Credit,Daily Cash Deposit,USD,0.08
12/07/2023,12/07/2023,Rewards,Credit,Daily Cash Deposit,USD,1.4
12/07/2023,12/07/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
12/04/2023,12/04/2023,Rewards,Credit,Daily Cash Deposit,USD,0.36
12/03/2023,12/03/2023,Rewards,Credit,Daily Cash Deposit,USD,0.51
02/29/2024,03/01/2024,Interest,Credit,Interest Paid,USD,7.72
02/29/2024,02/29/2024,Rewards,Credit,Daily Cash Deposit,USD,0.38
02/29/2024,02/29/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
02/27/2024,02/27/2024,Rewards,Credit,Daily Cash Deposit,USD,0.33
02/24/2024,02/24/2024,Rewards,Credit,Daily Cash Deposit,USD,0.08
02/22/2024,02/22/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
02/19/2024,02/19/2024,Rewards,Credit,Daily Cash Deposit,USD,0.22
02/17/2024,02/17/2024,Rewards,Credit,Daily Cash Deposit,USD,0.1
02/15/2024,02/15/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
02/13/2024,02/13/2024,Rewards,Credit,Daily Cash Deposit,USD,0.83
02/13/2024,02/13/2024,Rewards,Credit,Daily Cash Deposit,USD,0.93
02/11/2024,02/11/2024,Rewards,Credit,Daily Cash Deposit,USD,0.1
02/08/2024,02/08/2024,Rewards,Credit,Daily Cash Deposit,USD,0.17
02/08/2024,02/08/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
02/07/2024,02/07/2024,Rewards,Credit,Daily Cash Deposit,USD,0.8
02/06/2024,02/06/2024,Rewards,Credit,Daily Cash Deposit,USD,1.27
02/06/2024,02/06/2024,Rewards,Credit,Daily Cash Deposit,USD,1.02
02/04/2024,02/04/2024,Rewards,Credit,Daily Cash Deposit,USD,0.86
02/01/2024,02/01/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
05/31/2023,06/01/2023,Interest,Credit,Interest Paid,USD,0.75
05/30/2023,05/30/2023,Rewards,Credit,Daily Cash Deposit,USD,0.84
